,term,frq_pre,frq_post,diff
141,achtung,0.0003185354077253219,0.00012394160393481977,-0.0001945938037905021
149,verlangt,0.0003185354077253219,0.00012394160393481977,-0.0001945938037905021
147,wirtschaftliche,0.0003185354077253219,0.00012394160393481977,-0.0001945938037905021
43,arbeit,0.0006035407725321889,0.0004109642656786129,-0.000192576506853576
252,zweifel,0.0002179452789699571,2.609296924943574e-05,-0.00019185230972052134
101,freude,0.00038559549356223174,0.00019569726937076803,-0.0001898982241914637
99,wille,0.00038559549356223174,0.00019569726937076803,-0.0001898982241914637
276,lebendig,0.0002011802575107296,1.304648462471787e-05,-0.00018813377288601175
275,gebiet,0.0002011802575107296,1.304648462471787e-05,-0.00018813377288601175
272,möge,0.0002011802575107296,1.304648462471787e-05,-0.00018813377288601175
150,fremden,0.0003185354077253219,0.0001304648462471787,-0.00018807056147814317
64,halten,0.0004861856223175966,0.000300069146368511,-0.0001861164759490856
157,zuversicht,0.00030177038626609445,0.00011741836162246082,-0.00018435202464363364
241,gewiss,0.00023471030042918455,5.218593849887148e-05,-0.00018252436193031307
236,verständnis,0.00023471030042918455,5.218593849887148e-05,-0.00018252436193031307
217,anstrengungen,0.00023471030042918455,5.218593849887148e-05,-0.00018252436193031307
119,herzen,0.00035206545064377684,0.0001696043001213323,-0.00018246115052244453
294,gelegentlich,0.0002011802575107296,1.9569726937076806e-05,-0.0001816105305736528
146,jahrhunderten,0.0003185354077253219,0.00013698808855953763,-0.00018154731916578424
235,grössere,0.00023471030042918455,5.870918081123041e-05,-0.00017600111961795414
222,masse,0.00023471030042918455,5.870918081123041e-05,-0.00017600111961795414
183,öffentlichen,0.00028500536480686697,0.00011089511931010189,-0.00017411024549676506
127,grund,0.00033530042918454936,0.00016308105780897338,-0.00017221937137557597
336,einigkeit,0.00018441523605150216,1.304648462471787e-05,-0.0001713687514267843
326,staatswesen,0.00018441523605150216,1.304648462471787e-05,-0.0001713687514267843
239,einheit,0.00023471030042918455,6.523242312358935e-05,-0.0001694778773055952
225,bilden,0.00023471030042918455,6.523242312358935e-05,-0.0001694778773055952
227,jahres,0.00023471030042918455,6.523242312358935e-05,-0.0001694778773055952
80,sorgen,0.0004358905579399142,0.00026745293480671636,-0.00016843762313319783
48,frage,0.0005532457081545064,0.00038487129642917717,-0.00016837441172532928
207,freie,0.000251475321888412,8.480215006066616e-05,-0.00016667317182774585
70,liegt,0.0004861856223175966,0.0003196388733055878,-0.00016654674901200878
75,bewusst,0.0004526555793991416,0.0002870226617437931,-0.0001656329176553485
300,stellung,0.0002011802575107296,3.913945387415361e-05,-0.000162040803636576
153,verteidigen,0.0003185354077253219,0.00015655781549661445,-0.00016197759222870742
379,geistigen,0.00016765021459227468,6.523242312358935e-06,-0.00016112697227991575
68,all,0.0004861856223175966,0.00032616211561794676,-0.00016002350669964982
316,erneuern,0.00018441523605150216,2.609296924943574e-05,-0.0001583222668020664
334,landesverteidigung,0.00018441523605150216,2.609296924943574e-05,-0.0001583222668020664
72,zeiten,0.0004694206008583691,0.0003131156309932289,-0.0001563049698651402
285,wahrung,0.0002011802575107296,4.566269618651254e-05,-0.00015551756132421707
298,freiheiten,0.0002011802575107296,4.566269618651254e-05,-0.00015551756132421707
256,fühlen,0.0002179452789699571,6.523242312358935e-05,-0.00015271285584636773
331,werk,0.00018441523605150216,3.2616211561794675e-05,-0.00015179902448970748
307,bundespräsident,0.00018441523605150216,3.2616211561794675e-05,-0.00015179902448970748
33,bleiben,0.0006538358369098712,0.000502289658051638,-0.00015154617885823325
287,gegenseitige,0.0002011802575107296,5.218593849887148e-05,-0.00014899431901185814
290,krieges,0.0002011802575107296,5.218593849887148e-05,-0.00014899431901185814
151,guten,0.0003185354077253219,0.0001696043001213323,-0.00014893110760398956
148,feuer,0.0003185354077253219,0.0001696043001213323,-0.00014893110760398956
152,alten,0.0003185354077253219,0.0001696043001213323,-0.00014893110760398956
374,verteidigung,0.00016765021459227468,1.9569726937076806e-05,-0.00014808048765519788
399,notwendigkeit,0.00015088519313304722,6.523242312358935e-06,-0.0001443619508206883
411,indessen,0.00015088519313304722,6.523242312358935e-06,-0.0001443619508206883
279,täler,0.0002011802575107296,5.870918081123041e-05,-0.0001424710766994992
373,menschlichen,0.00016765021459227468,2.609296924943574e-05,-0.00014155724534283893
335,kriege,0.00018441523605150216,4.566269618651254e-05,-0.00013875253986498962
306,tatsache,0.00018441523605150216,4.566269618651254e-05,-0.00013875253986498962
164,lage,0.00030177038626609445,0.00016308105780897338,-0.00013868932845712107
420,unrecht,0.00015088519313304722,1.304648462471787e-05,-0.00013783870850832936
200,verbunden,0.0002682403433476395,0.0001304648462471787,-0.00013777549710046079
104,frei,0.00038559549356223174,0.00024788320786963954,-0.0001377122856925922
301,anderer,0.0002011802575107296,6.523242312358935e-05,-0.00013594783438714025
284,gott,0.0002011802575107296,6.523242312358935e-05,-0.00013594783438714025
380,militärischen,0.00016765021459227468,3.2616211561794675e-05,-0.00013503400303048
346,einig,0.00016765021459227468,3.2616211561794675e-05,-0.00013503400303048
363,güter,0.00016765021459227468,3.2616211561794675e-05,-0.00013503400303048
368,bedarf,0.00016765021459227468,3.2616211561794675e-05,-0.00013503400303048
372,wahren,0.00016765021459227468,3.2616211561794675e-05,-0.00013503400303048
375,bundesbriefes,0.00016765021459227468,3.2616211561794675e-05,-0.00013503400303048
245,worten,0.0002179452789699571,8.480215006066616e-05,-0.00013314312890929094
421,entschlossen,0.00015088519313304722,1.9569726937076806e-05,-0.0001313154661959704
435,schwur,0.00015088519313304722,1.9569726937076806e-05,-0.0001313154661959704
391,rat,0.00015088519313304722,1.9569726937076806e-05,-0.0001313154661959704
403,verständigung,0.00015088519313304722,1.9569726937076806e-05,-0.0001313154661959704
201,gefahren,0.0002682403433476395,0.00013698808855953763,-0.00013125225478810185
229,behaupten,0.00023471030042918455,0.00010437187699774296,-0.00013033842343144157
296,verpflichtet,0.0002011802575107296,7.175566543594828e-05,-0.00012942459207478135
343,lieben,0.00016765021459227468,3.913945387415361e-05,-0.00012851076071812107
179,schutz,0.00028500536480686697,0.00015655781549661445,-0.00012844754931025252
173,zusammenarbeit,0.00028500536480686697,0.00015655781549661445,-0.00012844754931025252
7,leben,0.001575912017167382,0.0014481597933436836,-0.00012775222382369836
488,hindurch,0.00013412017167381974,6.523242312358935e-06,-0.0001275969293614608
458,zusammengehörigkeit,0.00013412017167381974,6.523242312358935e-06,-0.0001275969293614608
510,geistige,0.00013412017167381974,6.523242312358935e-06,-0.0001275969293614608
131,erinnern,0.00033530042918454936,0.00020874375399548592,-0.00012655667518906343
312,willens,0.00018441523605150216,5.870918081123041e-05,-0.00012570605524027175
332,ausserhalb,0.00018441523605150216,5.870918081123041e-05,-0.00012570605524027175
417,hoffen,0.00015088519313304722,2.609296924943574e-05,-0.00012479222388361147
443,schweren,0.00015088519313304722,2.609296924943574e-05,-0.00012479222388361147
116,gemeinsamen,0.00035206545064377684,0.00022831348093256272,-0.00012375196971121412
297,nation,0.0002011802575107296,7.827890774830722e-05,-0.0001229013497624224
269,grundlagen,0.0002011802575107296,7.827890774830722e-05,-0.0001229013497624224
341,äussern,0.00016765021459227468,4.566269618651254e-05,-0.00012198751840576213
504,beistand,0.00013412017167381974,1.304648462471787e-05,-0.00012107368704910187
471,einstellung,0.00013412017167381974,1.304648462471787e-05,-0.00012107368704910187
497,einsicht,0.00013412017167381974,1.304648462471787e-05,-0.00012107368704910187
469,segen,0.00013412017167381974,1.304648462471787e-05,-0.00012107368704910187
501,feiertag,0.00013412017167381974,1.304648462471787e-05,-0.00012107368704910187
204,europas,0.000251475321888412,0.0001304648462471787,-0.0001210104756412333
255,fremde,0.0002179452789699571,9.784863468538402e-05,-0.00012009664428457308
130,wort,0.00033530042918454936,0.00021526699630784485,-0.0001200334328767045
106,rütli,0.00038559549356223174,0.00026745293480671636,-0.00011814255875551539
274,sprache,0.0002011802575107296,8.480215006066616e-05,-0.00011637810745006346
273,voller,0.0002011802575107296,8.480215006066616e-05,-0.00011637810745006346
360,wege,0.00016765021459227468,5.218593849887148e-05,-0.0001154642760934032
499,eure,0.00013412017167381974,1.9569726937076806e-05,-0.00011455044473674294
495,festen,0.00013412017167381974,1.9569726937076806e-05,-0.00011455044473674294
450,frohen,0.00013412017167381974,1.9569726937076806e-05,-0.00011455044473674294
470,grüsse,0.00013412017167381974,1.9569726937076806e-05,-0.00011455044473674294
487,gleichgültigkeit,0.00013412017167381974,1.9569726937076806e-05,-0.00011455044473674294
246,erreicht,0.0002179452789699571,0.00010437187699774296,-0.00011357340197221413
441,menschheit,0.00015088519313304722,3.913945387415361e-05,-0.00011174573925889361
390,ereignis,0.00015088519313304722,3.913945387415361e-05,-0.00011174573925889361
412,ewigen,0.00015088519313304722,3.913945387415361e-05,-0.00011174573925889361
418,würdig,0.00015088519313304722,3.913945387415361e-05,-0.00011174573925889361
567,bedenken,0.00011735515021459227,6.523242312358935e-06,-0.00011083190790223334
574,bemühungen,0.00011735515021459227,6.523242312358935e-06,-0.00011083190790223334
513,bemühen,0.00011735515021459227,6.523242312358935e-06,-0.00011083190790223334
592,volke,0.00011735515021459227,6.523242312358935e-06,-0.00011083190790223334
602,vaterlandes,0.00011735515021459227,6.523242312358935e-06,-0.00011083190790223334
519,wenden,0.00011735515021459227,6.523242312358935e-06,-0.00011083190790223334
345,tages,0.00016765021459227468,5.870918081123041e-05,-0.00010894103378104427
347,kulturellen,0.00016765021459227468,5.870918081123041e-05,-0.00010894103378104427
502,technik,0.00013412017167381974,2.609296924943574e-05,-0.000108027202424384
473,notwendig,0.00013412017167381974,2.609296924943574e-05,-0.000108027202424384
508,bestand,0.00013412017167381974,2.609296924943574e-05,-0.000108027202424384
512,männern,0.00013412017167381974,2.609296924943574e-05,-0.000108027202424384
452,führte,0.00013412017167381974,2.609296924943574e-05,-0.000108027202424384
494,allmächtigen,0.00013412017167381974,2.609296924943574e-05,-0.000108027202424384
203,bestehen,0.000251475321888412,0.00014351133087189656,-0.00010796399101651544
325,begehen,0.00018441523605150216,7.827890774830722e-05,-0.00010613632830319493
397,wirklichkeit,0.00015088519313304722,4.566269618651254e-05,-0.00010522249694653468
440,harten,0.00015088519313304722,4.566269618651254e-05,-0.00010522249694653468
432,treu,0.00015088519313304722,4.566269618651254e-05,-0.00010522249694653468
396,denkt,0.00015088519313304722,4.566269618651254e-05,-0.00010522249694653468
581,unmittelbar,0.00011735515021459227,1.304648462471787e-05,-0.0001043086655898744
